Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,All Deaths involving COVID-19 (U07.1),Deaths from All Causes,"Deaths involving Pneumonia, with or without COVID-19, excluding Influenza deaths
(J12.0–J18.9)","Deaths involving COVID-19 and Pneumonia, excluding Influenza (U07.1 and J12.0–J18.9)"
07/23/2020,02/01/2020,07/18/2020,0,United States,Hospice facility,0-14 years,0,30,1,0
07/23/2020,02/01/2020,07/18/2020,0,United States,Hospice facility,15-44 years,10,1603,54,3
07/23/2020,02/01/2020,07/18/2020,0,United States,Hospice facility,45-64 years,208,13928,643,99
07/23/2020,02/01/2020,07/18/2020,0,United States,Hospice facility,65-74 years,480,19412,1179,215
07/23/2020,02/01/2020,07/18/2020,0,United States,Hospice facility,75-84 years,1039,25210,1964,506
07/23/2020,02/01/2020,07/18/2020,0,United States,Hospice facility,85 years and over,1536,30178,2591,703
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, dead on arrival",0-14 years,1,96,3,1
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, dead on arrival",15-44 years,7,862,4,1
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, dead on arrival",45-64 years,41,1266,30,10
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, dead on arrival",65-74 years,33,770,26,9
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, dead on arrival",75-84 years,32,591,30,11
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, dead on arrival",85 years and over,22,460,17,4
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, inpatient",0-14 years,26,7380,126,6
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, inpatient",15-44 years,2680,21746,3001,1325
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, inpatient",45-64 years,17820,94238,19284,9140
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, inpatient",65-74 years,20534,99929,23327,10820
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, inpatient",75-84 years,22344,106099,26888,12098
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, inpatient",85 years and over,19173,87777,23583,10560
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, outpatient or emergency room",0-14 years,7,2042,41,2
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, outpatient or emergency room",15-44 years,294,12485,257,78
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, outpatient or emergency room",45-64 years,1226,23489,1033,364
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, outpatient or emergency room",65-74 years,1080,17760,1055,365
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, outpatient or emergency room",75-84 years,1130,16041,1167,394
07/23/2020,02/01/2020,07/18/2020,0,United States,"Healthcare setting, outpatient or emergency room",85 years and over,967,12058,1116,350
07/23/2020,02/01/2020,07/18/2020,0,United States,Nursing home/longterm care facility,0-14 years,0,9,2,0
07/23/2020,02/01/2020,07/18/2020,0,United States,Nursing home/longterm care facility,15-44 years,43,832,58,13
07/23/2020,02/01/2020,07/18/2020,0,United States,Nursing home/longterm care facility,45-64 years,1085,14208,845,286
07/23/2020,02/01/2020,07/18/2020,0,United States,Nursing home/longterm care facility,65-74 years,3397,32079,2046,804
07/23/2020,02/01/2020,07/18/2020,0,United States,Nursing home/longterm care facility,75-84 years,8060,68403,4659,2012
07/23/2020,02/01/2020,07/18/2020,0,United States,Nursing home/longterm care facility,85 years and over,18233,148853,10603,4341
07/23/2020,02/01/2020,07/18/2020,0,United States,Other,0-14 years,0,615,5,0
07/23/2020,02/01/2020,07/18/2020,0,United States,Other,15-44 years,61,20640,116,19
07/23/2020,02/01/2020,07/18/2020,0,United States,Other,45-64 years,199,18965,256,58
07/23/2020,02/01/2020,07/18/2020,0,United States,Other,65-74 years,243,10852,306,67
07/23/2020,02/01/2020,07/18/2020,0,United States,Other,75-84 years,446,14867,524,127
07/23/2020,02/01/2020,07/18/2020,0,United States,Other,85 years and over,1063,27797,974,235
07/23/2020,02/01/2020,07/18/2020,0,United States,Place of death unknown,0-14 years,0,365,0,0
07/23/2020,02/01/2020,07/18/2020,0,United States,Place of death unknown,15-44 years,55,3201,72,22
07/23/2020,02/01/2020,07/18/2020,0,United States,Place of death unknown,45-64 years,281,9309,480,137
